,title,plot,genre
0958060,Driven,Cop risks his job when he becomes jealously obsessed over girlfriend.::Anonymous,adult-film
5360984,Couples Fantasies,These couples have hot fantasies.,adult-film
3376582,Fantasies Come True,Everyone bangs hard and long,adult-film
0463709,Secrets of the Velvet Ring,"Meet Nadia a beautiful and successful woman with a hearty appetite for pleasure. Nadia is the founder of the Velvet Ring, a unique club that takes the fantasies of women to the next level and beyond. As the popularity of Nadia's exclusive sex club for women grows, Nadia soon discovers that when it comes to sex, inhibition is definitely the key to success.::Anonymous",adult-film
0934789,Bad Wives,"Five steamy cuckolding stories of what's really going on behind the neighbor's front door. They're not desperate - just desperately depraved. 1) Cuckolding at a Bar: A swinger couple picks up a man at a bar and they have a threesome in the bar toilet. 2) Cuckolding in a Limousine; It's wife's birthday, husband rents a limousine and allows her to do whatever she wants. They find a girl for threesome. 3) Cuckolding by the Pool; Husband watches his wife with the gardener and then joins the party. 4) Cuckolding by the Billiard Table; Couple cheers up their friend who broke up with his wife. 5) Taping the Cuckolding; husband likes to watch his wife with other men they hire a young man and he tapes the session while masturbating.::lament",adult-film
10965572,Tony Rubino's Let's Make a Sex Tape,"An amateur approach to amazing sex with gorgeous girls. This is one hot film featuring girls you'll want to get familiar with. Cover girl Mia for instance, is going to be making a name for herself, and you'll see why right here.",adult-film
6281738,The Red Viper,"There's much more than meets the eye at The Red Viper, a strip club where the sexy entertainment is as dirty as the ulterior motives of its patrons and staff.",adult-film
7607144,Hardcore Threesomes,"Get ready for the hottest three-way fuck fest you've ever seen. Hard X is proud to present ""Hardcore Threesomes"" featuring wild and intense sexual scenarios. In this case, three is definitely not a crowd. Starring Romi Rain, Vicki Chase, Elsa Jean, Gina Valentina and more. Directed by Mick Blue. Don't miss out on this hot release.",adult-film
1799518,Big Wet Tits 10,The tenth volume of the Big Wet Tits series continues to lavish the breasts of voluptuous stars with copious amounts of glistening oil.::Anonymous,adult-film
4552498,Getting Cozy,"Marisa is recently single, and she has now been set up on a blind date by her friend. Her date Brian, however, is definitely not her type. When she has a few too many drinks, she finds out that she has wound up inside his bed sheets. With just her luck, there is also a big ice storm headed her way and she and Brian don't have a choice but to spend the night together.",adult-film
3448368,Babysitter Diaries 12,More babysitters get knocked up in this sexy volume.,adult-film
8813678,Hot Bodies Vol. 2,Women love to be sweaty only during sex and workout. Mason bring the two together in a new volume of sexy fitness scenarios which will create to ladies a longing for leg warmers and hot sex while men gaze at your perfect 10 bodies.,adult-film
2129897,Bad Girls 7,Robby D. is back and he brings more bad girls in the new gonzo release from Digital Playground.::Anonymous,adult-film
7665634,Run Far Away,"Two stories about two naive teenage girls. The first segment deals with Georgia (Haley Reed) who tries to hitchhike her way to L.A. and by doing so meets two men who saved her from a creepy driver. Soon, she sees they're not what they seem but caught up by the excitement, she goes along and does all they want. The other segment tells the story of Cindy (Elsa Jean) who finds herself in the house of Meera Gold (Reena Sky) to make up for the tag she did but what she doesn't know is Mrs. Gold also wants to teach her a lesson.",adult-film
10539102,Artcore: Angels,"Luxurious vistas, exquisite women and fine lingerie at a decadent hideaway high in the Hollywood Hills, Kevin captures lace-clad, cock-loving beauties in romantic, hardcore affairs with passionate men of means.::Evil Angel",adult-film
8896808,The Jerk with a Johnson,"The Jerk with a Johnson accidentally stumbles upon a porn set mid-mission and gets cast as a porn star. The Jerk with a Johnson shows Jessa why he's such a popular superhero, especially with the ladies.::Digital Playground",adult-film
4981788,Broken Vows,"When the sexy Eva Lovia married her husband, David, their life was filled with passion and mesmerizing love-making. But through the years, their petty arguments turned violent. And when she discovered her husband's mistress, she knew their marriage was over. For their anniversary, he gifted her a present containing lace and not much else. After a mind blowing orgasm reminiscent of their honeymoon, David leaves expecting a second round in the evening, but uncovers something far worse. Broken Vows is a suspenseful thriller, with six hardcore sex scenes and a jaw dropping climax that will keep you on edge.::Digital Playground",adult-film
4338882,Eva Lovia's Bondage Lust,"A lesbian lusts after the pretty feet attached to a lovely lady and, with the help of her henchman, captures the unfortunate woman. Once the damsel in distress is stripped naked, bound and gagged, the foot worship begins, only ending when her henchman double-crosses her, leaving the brunette aggressor bound and helpless.::Anonymous",adult-film
7459282,Karma,"Theresa (Monique Alexander) and her sleazy attorney devise a plan to set up her wealthy husband Dominic and win a huge divorce settlement. They are almost successful until he has a chance run in with his ex-wife's accomplice Janelle (Harley Jade). Once Dominic and Janelle realize they were both scammed, they team up to teach Theresa a lesson in karma.",adult-film
4202346,Squirt in My Face,Right then u be his usury .,adult-film
1804520,Elvis XXX: A Porn Parody,"A fictionalized version of events that took place during the course of Elvis's life, as told by several fictitious friends and family members.::Anonymous",adult-film
6859150,Lesbian Stepmother 3,"In homage to fairy tales and classic horror films, the 3rd installment of Lesbian Stepmother tells the story of young Elsa Jean Simmons, who is held prisoner in her home after the disappearance of her father. Her evil stepmother, played by Dana Vespoli, keeps Elsa on a grueling schedule of chores as odd and mysterious events occur after dark - Elsa is haunted by dreams of beautiful, ravenous demons and her stepmother's assistant Elexis Monroe offers some clues as to what Elsa is being groomed for.::Anonymous",adult-film
2825904,Girlfriends Get Even 3,"Several more girlfriends get revenge for their boyfriend's cheating, in this third installment of Girlfriends Get Even 3.",adult-film
8097238,Code of Honor,"Digital Playground presents the explosive epic adult film of the year: Code of Honor. Award winning director Robby D. invites you on an adventure of a lifetime that features the world's sexiest women. When their former teammate is taken hostage, a super squad of bad ass beauties reunite for one last mission; to infiltrate the criminal cartel and rescue their fallen friend. Digital Playground Contract Stars Jesse Jane, Kayden Kross, Riley Steele and Stoya are the hardcore honeys that come together to save Selena Rose, the law enforcement agent that gets caught while undercover. With 7 energetically erotic sex scenes, that also include Tasha Reign and Best New Starlet Brooklyn Lee, Code of Honor infuses intensity with passion.::Official site",adult-film
2030379,Saturday Night Fever XXX: An Exquisite Films Parody,A XXX parody of the classic 1977 disco film staring Seth Gamble as Tony.,adult-film
1435566,Pornstar Workout,You know what happens when these girls decide to work their eye popping bodies.,adult-film
2601930,Unfaithful,"Emily's husband Andy has just lost his job and is now depressed and is taking it out on Emily. She makes a decision that taking a weekend off from each other while she is away, she meets a handsome man and it goes way too far. Emily is now feels guilty about her affair and she returns home but is greeted by her husband who is now employed. Emily wants to keep the affair a secret but her new stranger friend whom she had the affair with has other ideas.",adult-film
2815504,Not Animal House XXX,"At college, Dean Wormer is determined to expel the entire Delta Sorority, but those troublemakers have other plans for him.::Anonymous",adult-film
3345666,Erotico,Plots should not contain spoilers or personal opinions.,adult-film
4237216,My Sister's Hot Friend 35,Christy Mack is my drama Girlfriend,adult-film
11596200,Neighbor Affair,One of hardcore series of NAUGHTY .::lament,adult-film
4861262,Babes,Gorgeous babes have glamorous lesbian or straight sex in nice settings.,adult-film
2022574,The Watcher,"There are certain men in this world who derive great pleasure from watching their wife or girlfriend engaging in sex with other men, commonly known as Watchers or Observers. These couples are usually hyper-sexual, and enjoy roll playing, swapping, and group sex. Meet John and Karen Dawson (Kirsten Price and Brad Armstrong) they are just such a couple. John can't get enough of seeing his hot wife being ravished by other men, Friends, co-worker, or complete strangers, and Karen is only too happy to oblige. It has become an obsession. And like any obsession sooner or later things tend to go horribly wrong. So when Karen decides it's time for a change, and falls for one of her new found fuck buddies, John's world is turned upside down. He fights to keep his wife and marriage intact, while Karen slips further and further away. Time to make a choice. Will he be able to give up his obsession, and the kinky underworld that goes with it, or will he walk away from the woman he loves.::Kravis D. NSFW",adult-film
10712386,Lesbian Psychodramas 31,Tainted passion turns to obsessed lust.::Anonymous,adult-film
1698506,Ghost Fuckers,Married couple move into a house haunted by sexually frustrated spirits.::Temple Jones,adult-film
1593697,I'm Dreaming of Genie,"When Majors Nielson & Wealy are selected to go on a mission to Mars, Genie makes sure her master does not pass Dr. Fellows' physical.::Il Tesoro",adult-film
5016102,Being Riley,"Finally, the Riley Reid scenes millions of fans have been waiting for are here.",adult-film
6039944,Dirty Masseur,The hottest pornstars getting the happiest of endings.,adult-film
0844659,All About Keri,"A struggling screenwriter, seeks to write his latest screenplay for his first movie. After meeting with an obnoxious Russian financier, named General Teddy, he agrees to finance the script. But the condition is that the movie be turned into a porn flick. The screenwriter is not happy about it, but changes his mind when he meets the hot new female lead who opens his mind to a new venture in filmmaking.::Anonymous",adult-film
9001530,Love Stories 6,The sixth entry in the Love Stories series by Erotica X.,adult-film
2015330,Car Wash Girls 2,A series of sexual fantasies involving girls washing cars.::Anonymous,adult-film
0804553,Who Do You Love?,Stories about the first love::evanflaugher-82403,adult-film
0431338,Psycho Love,"A sexy female psychiatrist has dealings with some clients, including a man cheating on his girlfriend with a blow-up doll.::cttatumjr",adult-film
3817344,Sleeping Beauty: An Axel Braun Parody,A XXX parody of the classic tale of Sleeping Beauty.,adult-film
6118178,Doctor Adventures,An Adult series revolving around medical themes.,adult-film
